[ 0, 0, 13, 5, 21, 126, 88, 0 ]
[ 60, 81, 12, 78, 70, 0, 0, 7 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 20, 0, 0, 0, 0, 0, 0, 9 ]
[ 0, 0, 0, 0, 0, 21, 11, 33 ]
[ 0, 0, 13, 27, 56, 93, 19, 21 ]
[ 0, 0, 51, 74, 104, 97, 37, 26 ]
[ 0, 0, 0, 29, 37, 40, 40, 31 ]
[ 0, 1, 0, 40, 26, 23, 51, 32 ]
[ 0, 41, 0, 54, 78, 152, 138, 96 ]
[ 35, 136, 104, 115, 89, 86, 115, 84 ]
[ 6, 79, 77, 71, 74, 92, 95, 49 ]
[ 0, 0, 63, 97, 103, 79, 11, 0 ]
[ 0, 0, 24, 0, 0, 24, 4, 0 ]
[ 0, 0, 0, 0, 0, 4, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 13, 52, 13, 0 ]
[ 53, 196, 118, 138, 138, 33, 26, 0 ]
[ 0, 8, 34, 62, 70, 45, 24, 0 ]
[ 16, 3, 0, 0, 0, 0, 4, 10 ]
[ 0, 0, 27, 15, 4, 0, 0, 0 ]
[ 0, 0, 55, 56, 55, 69, 18, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 7, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 117, 41, 18, 34, 52, 54, 82, 22 ]
[ 66, 23, 7, 8, 3, 0, 0, 15 ]
[ 0, 2, 3, 39, 41, 50, 2, 0 ]
[ 0, 9, 0, 4, 32, 54, 6, 0 ]
[ 0, 4, 0, 0, 0, 7, 0, 0 ]
[ 4, 0, 0, 0, 0, 0, 0, 0 ]
[ 3, 2, 0, 0, 0, 0, 0, 0 ]
[ 12, 153, 101, 48, 138, 69, 36, 0 ]
[ 65, 65, 92, 89, 92, 86, 89, 24 ]
[ 39, 0, 8, 1, 3, 11, 63, 17 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 8, 0, 0, 0, 0, 0 ]
[ 0, 7, 3, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 6, 147, 134, 127, 164, 51, 0 ]
[ 0, 0, 54, 58, 94, 147, 51, 0 ]
[ 0, 41, 153, 31, 6, 16, 0, 0 ]
[ 0, 0, 78, 202, 87, 23, 0, 0 ]
[ 0, 0, 0, 3, 53, 207, 216, 15 ]
[ 168, 208, 45, 196, 129, 57, 102, 48 ]
[ 62, 50, 10, 31, 23, 14, 17, 6 ]
[ 34, 31, 16, 45, 50, 37, 14, 9 ]
[ 11, 4, 15, 30, 24, 17, 17, 25 ]
[ 21, 0, 0, 13, 7, 0, 0, 40 ]
[ 11, 3, 104, 98, 53, 30, 42, 48 ]
[ 6, 0, 9, 148, 153, 133, 103, 56 ]
[ 51, 33, 0, 5, 0, 35, 84, 56 ]
[ 50, 87, 5, 60, 57, 171, 168, 103 ]
[ 52, 151, 114, 106, 75, 80, 27, 5 ]
[ 26, 105, 83, 78, 74, 89, 88, 51 ]
[ 26, 0, 0, 0, 0, 0, 4, 0 ]
[ 32, 0, 0, 0, 0, 0, 22, 0 ]
[ 1, 28, 53, 7, 2, 13, 37, 0 ]
[ 0, 47, 74, 21, 35, 77, 92, 0 ]
[ 12, 0, 27, 231, 80, 87, 123, 2 ]
[ 0, 0, 0, 61, 17, 52, 57, 2 ]
[ 0, 6, 0, 2, 11, 32, 98, 57 ]
[ 0, 41, 42, 27, 32, 81, 80, 23 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 46, 0, 18, 54, 72, 101, 23, 0 ]
[ 75, 0, 21, 25, 46, 55, 0, 0 ]
[ 33, 0, 0, 0, 0, 0, 0, 0 ]
[ 35, 12, 13, 53, 31, 61, 27, 12 ]
[ 162, 6, 0, 29, 49, 20, 0, 35 ]
[ 141, 0, 0, 0, 0, 0, 0, 97 ]
[ 118, 45, 47, 51, 37, 32, 80, 124 ]
[ 0, 45, 10, 0, 0, 0, 0, 58 ]
[ 0, 123, 31, 0, 0, 0, 2, 97 ]
[ 0, 19, 0, 0, 0, 0, 0, 77 ]
[ 0, 1, 0, 0, 0, 0, 0, 80 ]
[ 0, 83, 38, 0, 0, 0, 0, 54 ]
[ 0, 4, 45, 0, 0, 0, 0, 45 ]
[ 0, 0, 0, 0, 0, 0, 0, 41 ]
[ 0, 0, 0, 0, 0, 0, 0, 35 ]
[ 11, 58, 59, 70, 64, 53, 125, 126 ]
[ 0, 0, 0, 0, 0, 0, 7, 69 ]
[ 0, 0, 0, 0, 0, 0, 35, 67 ]
[ 0, 0, 2, 30, 29, 57, 75, 79 ]
[ 7, 58, 0, 0, 0, 0, 11, 42 ]
[ 0, 0, 30, 6, 6, 3, 42, 73 ]
[ 0, 0, 20, 34, 25, 33, 16, 12 ]
[ 0, 0, 0, 0, 0, 0, 0, 28 ]
[ 210, 19, 0, 0, 0, 0, 0, 37 ]
[ 258, 56, 17, 0, 0, 0, 0, 75 ]
[ 210, 106, 113, 29, 0, 0, 22, 89 ]
[ 248, 135, 63, 73, 27, 36, 55, 88 ]
[ 228, 162, 174, 93, 0, 0, 0, 23 ]
[ 39, 0, 33, 8, 0, 7, 0, 0 ]
[ 11, 0, 0, 0, 0, 0, 0, 0 ]
[ 28, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 42, 64, 82, 98, 37, 0 ]
[ 0, 0, 58, 153, 201, 123, 8, 0 ]
[ 0, 0, 108, 174, 173, 89, 7, 0 ]
[ 0, 0, 3, 41, 35, 34, 8, 0 ]
[ 0, 0, 0, 206, 142, 84, 30, 0 ]
[ 0, 0, 0, 128, 116, 162, 83, 0 ]
[ 126, 217, 223, 212, 170, 195, 192, 20 ]
[ 30, 82, 100, 107, 99, 94, 52, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 3 ]
[ 0, 56, 0, 0, 0, 0, 0, 0 ]
[ 0, 8, 0, 0, 0, 0, 0, 0 ]
[ 0, 28, 0, 0, 0, 0, 0, 0 ]
[ 0, 215, 203, 0, 0, 0, 0, 0 ]
[ 0, 11, 61, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 1, 12 ]
[ 0, 3, 0, 0, 0, 0, 0, 0 ]
[ 0, 50, 0, 0, 0, 0, 0, 4 ]
[ 0, 7, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 74, 91, 4, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 15, 23, 115, 138, 152, 103, 88, 43 ]
[ 41, 17, 150, 226, 212, 109, 62, 70 ]
[ 27, 89, 235, 193, 130, 101, 103, 69 ]
[ 7, 0, 28, 159, 183, 186, 170, 80 ]
[ 65, 31, 0, 107, 40, 170, 203, 73 ]
[ 87, 160, 56, 48, 7, 70, 125, 82 ]
